work_year,experience_level,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,company_size_encoded,experience_level_encoded,emp_CT,emp_FL,emp_FT,emp_PT,job_Analyst,job_Engineer,job_Manager,job_Other,job_Scientist,same_country,emp_cont_Asia,emp_cont_Europe,emp_cont_North America,emp_cont_Oceania,emp_cont_Other,emp_cont_South America,comp_cont_Asia,comp_cont_Europe,comp_cont_North America,comp_cont_Oceania,comp_cont_Other,comp_cont_South America,remote_Hybrid,remote_Onsite,remote_Remote,exp_x_company_size,remote_x_exp,log_salary_usd
2020,MI,Data Scientist,70000,EUR,79833,DE,0,DE,L,3,1,False,False,True,False,False,False,False,False,True,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,3,0,11.28770475786082
2020,SE,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S,1,2,False,False,True,False,False,False,False,False,True,1,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,0,12.468440756144114
2020,SE,Big Data Engineer,85000,GBP,109024,GB,50,GB,M,2,2,False,False,True,False,False,True,False,False,False,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,4,100,11.599332492710968
2020,MI,Product Data Analyst,20000,USD,20000,HN,0,HN,S,1,1,False,False,True,False,True,False,False,False,False,1,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,9.90353755128617
2020,SE,Machine Learning Engineer,150000,USD,150000,US,50,US,L,3,2,False,False,True,False,False,True,False,False,False,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,6,100,11.918397239722838
2020,EN,Data Analyst,72000,USD,72000,US,100,US,L,3,0,False,False,True,False,True,False,False,False,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0,0,11.184435286790631
2020,SE,Lead Data Scientist,190000,USD,190000,US,100,US,S,1,2,False,False,True,False,False,False,False,False,True,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2,200,12.154784614286667
2020,MI,Data Scientist,11000000,HUF,35735,HU,50,HU,L,3,1,False,False,True,False,False,False,False,False,True,1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,3,50,10.483913863031955
2020,MI,Business Data Analyst,135000,USD,135000,US,100,US,L,3,1,False,False,True,False,True,False,False,False,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,3,100,11.813037464800539
2020,SE,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S,1,2,False,False,True,False,False,True,False,False,False,1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,2,100,11.736077016252437
2020,EN,Data Scientist,45000,EUR,51321,FR,0,FR,S,1,0,False,False,True,False,False,False,False,False,True,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0,0,10.845874789131557
2020,MI,Data Scientist,3000000,INR,40481,IN,0,IN,L,3,1,False,False,True,False,False,False,False,False,True,1,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3,0,10.60861270985548
2020,EN,Data Scientist,35000,EUR,39916,FR,0,FR,M,2,0,False,False,True,False,False,False,False,False,True,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0,0,10.594557577300874
2020,MI,Lead Data Analyst,87000,USD,87000,US,100,US,L,3,1,False,False,True,False,True,False,False,False,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,3,100,11.373674891823535
2020,MI,Data Analyst,85000,USD,85000,US,100,US,L,3,1,False,False,True,False,True,False,False,False,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,3,100,11.350418300109132
2020,MI,Data Analyst,8000,USD,8000,PK,50,PK,L,3,1,False,False,True,False,True,False,False,False,False,1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,3,50,8.987321812850125
2020,EN,Data Engineer,4450000,JPY,41689,JP,100,JP,S,1,0,False,False,True,False,False,True,False,False,False,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0,10.638016570874843
2020,SE,Big Data Engineer,100000,EUR,114047,PL,100,GB,S,1,2,False,False,True,False,False,True,False,False,False,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,2,200,11.644374691390427
2020,EN,Data Science Consultant,423000,INR,5707,IN,50,IN,M,2,0,False,False,True,False,False,False,False,True,False,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0,0,8.649623978596727
2020,MI,Lead Data Engineer,56000,USD,56000,PT,100,US,M,2,1,False,False,True,False,False,True,False,False,False,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,2,100,10.933124826700707
2020,MI,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M,2,1,False,False,True,False,False,True,False,False,False,1,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,0,10.676646671065457
2020,MI,Product Data Analyst,450000,INR,6072,IN,100,IN,L,3,1,False,False,True,False,True,False,False,False,False,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,3,100,8.711607995897575
2020,SE,Data Engineer,42000,EUR,47899,GR,50,GR,L,3,2,False,False,True,False,False,True,False,False,False,1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,6,100,10.776870783399007
2020,MI,BI Data Analyst,98000,USD,98000,US,0,US,M,2,1,False,False,True,False,True,False,False,False,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,2,0,11.49273296168228
2020,MI,Lead Data Scientist,115000,USD,115000,AE,0,AE,L,3,1,False,False,True,False,False,False,False,False,True,1,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,3,0,11.652696102959753
2020,EX,Director of Data Science,325000,USD,325000,US,100,US,L,3,3,False,False,True,False,False,False,False,True,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,9,300,12.691583538230217
2020,EN,Research Scientist,42000,USD,42000,NL,50,NL,L,3,0,False,False,True,False,False,False,False,False,True,1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,0,0,10.645448706505872
2020,SE,Data Engineer,720000,MXN,33511,MX,0,MX,S,1,2,False,False,True,False,False,True,False,False,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,2,0,10.419658862626871
2020,EN,Business Data Analyst,100000,USD,100000,US,100,US,L,3,0,True,False,False,False,True,False,False,False,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0,0,11.51293546492023
2020,SE,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L,3,2,False,False,True,False,False,False,True,False,False,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,6,100,11.6708262472225
2020,MI,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S,1,1,False,False,True,False,False,True,False,False,False,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,1,100,10.990432036336555
2020,EN,Big Data Engineer,70000,USD,70000,US,100,US,L,3,0,False,False,True,False,False,True,False,False,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0,0,11.156264806643742
2020,SE,Data Scientist,60000,EUR,68428,GR,100,US,L,3,2,False,False,True,False,False,False,False,False,True,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,6,200,11.133551990366144
2020,MI,Research Scientist,450000,USD,450000,US,0,US,M,2,1,False,False,True,False,False,False,False,False,True,1,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,2,0,13.017005083966255
2020,MI,Data Analyst,41000,EUR,46759,FR,50,FR,L,3,1,False,False,True,False,True,False,False,False,False,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,3,50,10.752783415586006
2020,MI,Data Engineer,65000,EUR,74130,AT,50,AT,L,3,1,False,False,True,False,False,True,False,False,False,1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,3,50,11.213589077374968
2020,MI,Data Science Consultant,103000,USD,103000,US,100,US,L,3,1,False,False,True,False,False,False,False,True,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,3,100,11.542493975902508
2020,EN,Machine Learning Engineer,250000,USD,250000,US,50,US,L,3,0,False,False,True,False,False,True,False,False,False,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,0,0,12.429220196836383
2020,EN,Data Analyst,10000,USD,10000,NG,100,NG,S,1,0,False,False,True,False,True,False,False,False,False,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,0,0,9.210440366976517
2020,EN,Machine Learning Engineer,138000,USD,138000,US,100,US,S,1,0,False,False,True,False,False,True,False,False,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0,0,11.835016210489899
2020,MI,Data Scientist,45760,USD,45760,PH,100,US,S,1,1,False,False,True,False,False,False,False,False,True,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,1,100,10.731187478961756
